sum_absolute_error_distance,sum_bestfit_error_distance,final_trial_time,trial_permutation,n_swaps,n_substitutions,trial_type,trial,run
25.033572657982248,25.033572657982248,8645.0,01,0,0,P,0,a
27.075602927363057,27.075602927363057,6971.0,01,0,0,P,1,a
153.68555784210275,49.70258996708978,12498.0,10,1,0,P,2,a
188.11355888565504,181.74046504454478,37990.0,0193456782,1,0,B,3,a
600.439325922676,295.57148805554164,82680.0,6342051789,0,6,NT,4,a
406.92564827034215,217.45862545517372,93960.0,8193456702,2,0,SimRI,5,a
207.22533255766774,207.22533255766774,54889.0,0123456789,0,0,unknown,6,a
244.3747742486583,153.76920837639497,58474.0,9183456702,0,4,NT,7,a
391.52785033229486,239.48086588744755,53276.0,9123456780,1,0,DivRI,8,a
200.82374620085415,200.82374620085415,70517.0,0123456789,0,0,B,9,a
452.0397017097215,306.26243883034374,84200.0,3127056489,0,4,NT,10,a
889.1988995194623,251.48443136529525,89696.0,9234586701,0,8,SimRI,11,a
265.73889817609745,193.178682315741,65409.0,0123476589,1,0,B,12,a
204.99444878050932,204.99444878050932,71355.0,0123456789,0,0,NT,13,a
330.010255992337,246.9668513495796,79036.0,0123476589,1,0,DivRI,14,a
208.6983857974895,158.8608092689202,74971.0,0123486759,1,0,DB,15,b
1224.2320767129506,169.09266935952354,87264.0,6735284910,0,10,D,16,b
128.38828486888286,128.38828486888286,109828.0,0123456789,0,0,DB,17,b
139.29994418789943,139.29994418789943,101440.0,0123456789,0,0,D,18,b
35.07078832996746,35.07078832996746,217487.0,0123456789,0,0,C,19,b
